 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
    71.485,   1,  0.43507349E+07,   0.00000000E+00,  -0.69155848E+07,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.43113319E-08,
    78.485,   1,  0.17008792E+08,   0.00000000E+00,  -0.14968738E+08,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.11746967E-07,
    85.490,   1,  0.33957368E+08,   0.00000000E+00,  -0.34481105E+08,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.49412205E-07,
    92.497,   1,  0.51106375E+08,   0.00000000E+00,  -0.56778476E+08,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42347988E-08,
    99.492,   1,  0.61203486E+08,   0.00000000E+00,  -0.71316374E+08,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.22248845E-08,
   106.487,   1,  0.79476085E+08,   0.00000000E+00,  -0.90678309E+08,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.20630851E-08,
   113.485,   1,  0.97247104E+08,   0.00000000E+00,  -0.11602862E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.12438251E-08,
   120.489,   1,  0.11749927E+09,   0.00000000E+00,  -0.12499489E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29828195E-08,
   127.495,   1,  0.13280375E+09,   0.00000000E+00,  -0.14533248E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.18248642E-08,
   134.487,   1,  0.14094022E+09,   0.00000000E+00,  -0.15375987E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.19856751E-08,
   141.489,   1,  0.16646043E+09,   0.00000000E+00,  -0.18499159E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.14188792E-08,
   148.491,   1,  0.18383322E+09,   0.00000000E+00,  -0.20610803E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.10754850E-08,
   155.496,   1,  0.19406466E+09,   0.00000000E+00,  -0.22851912E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.65225769E-09,
   162.491,   1,  0.19889803E+09,   0.00000000E+00,  -0.24951361E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44502774E-09,
   169.498,   1,  0.20255929E+09,   0.00000000E+00,  -0.25089073E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.47367517E-09,
   176.496,   1,  0.20703212E+09,   0.00000000E+00,  -0.25259962E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.50106558E-09,
   183.494,   1,  0.21022225E+09,   0.00000000E+00,  -0.25944387E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46516920E-09,
   190.494,   1,  0.21295121E+09,   0.00000000E+00,  -0.26718156E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42914402E-09,
   197.500,   1,  0.21539430E+09,   0.00000000E+00,  -0.28540790E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34044665E-09,
   204.494,   1,  0.21787648E+09,   0.00000000E+00,  -0.28894561E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33696285E-09,
   211.496,   1,  0.22149690E+09,   0.00000000E+00,  -0.29190794E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34057779E-09,
   218.491,   1,  0.22422215E+09,   0.00000000E+00,  -0.29612963E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.32973938E-09,
   225.493,   1,  0.22661014E+09,   0.00000000E+00,  -0.30277648E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.31321915E-09,
   232.494,   1,  0.22888993E+09,   0.00000000E+00,  -0.31001768E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29244777E-09,
   239.497,   1,  0.23116130E+09,   0.00000000E+00,  -0.31302279E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29084586E-09,
   246.496,   1,  0.23353412E+09,   0.00000000E+00,  -0.31516959E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29077497E-09,
   253.492,   1,  0.23611958E+09,   0.00000000E+00,  -0.31902717E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.28674473E-09,
   260.496,   1,  0.23847861E+09,   0.00000000E+00,  -0.32410161E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.27860820E-09,
   267.490,   1,  0.24082126E+09,   0.00000000E+00,  -0.32783999E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.27530390E-09,
   274.491,   1,  0.25999313E+09,   0.00000000E+00,  -0.32907985E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.34913379E-09,
   281.495,   1,  0.27127386E+09,   0.00000000E+00,  -0.32966541E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.41845401E-09,
   288.487,   1,  0.27509814E+09,   0.00000000E+00,  -0.33181737E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42217469E-09,
   295.493,   1,  0.29024152E+09,   0.00000000E+00,  -0.33389339E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.52547809E-09,
   302.493,   1,  0.29647940E+09,   0.00000000E+00,  -0.33659808E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.58197042E-09,
   309.500,   1,  0.30251051E+09,   0.00000000E+00,  -0.34030841E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.55774049E-09,
   316.495,   1,  0.30650453E+09,   0.00000000E+00,  -0.34184547E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.63414693E-09,
   323.498,   1,  0.31460222E+09,   0.00000000E+00,  -0.34650604E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.67413834E-09,
   330.479,   1,  0.32437082E+09,   0.00000000E+00,  -0.35063742E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.78714932E-09,
   337.483,   1,  0.33033145E+09,   0.00000000E+00,  -0.35248194E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.90977457E-09,
   344.497,   1,  0.35543954E+09,   0.00000000E+00,  -0.36329181E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.22590926E-08,
   351.471,   1,  0.39897515E+09,   0.00000000E+00,  -0.38757296E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.23767209E-08,
   358.481,   1,  0.40588536E+09,   0.00000000E+00,  -0.39561763E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.37780146E-08,
